BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
18-3194,2018-01-11 23:00:00,,2018-03-09 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,74,Couverture,CF_NIV_SUIV,False,False,6,,Travaux de restructuration du stade nautique : création et réhabilitation des bassins extérieurs et construction d'un bâtiment
18-3194,2018-01-11 23:00:00,,2018-03-09 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,85,Décoration (travaux),CF_NIV_SUIV,False,False,6,,Travaux de restructuration du stade nautique : création et réhabilitation des bassins extérieurs et construction d'un bâtiment
18-3194,2018-01-11 23:00:00,,2018-03-09 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,168,Irrigation,CF_NIV_SUIV,False,False,6,,Travaux de restructuration du stade nautique : création et réhabilitation des bassins extérieurs et construction d'un bâtiment
18-3194,2018-01-11 23:00:00,,2018-03-09 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,253,Ouvrage d'infrastructure,CF_NIV_SUIV,False,False,6,,Travaux de restructuration du stade nautique : création et réhabilitation des bassins extérieurs et construction d'un bâtiment
18-3194,2018-01-11 23:00:00,,2018-03-09 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,274,Prestations de services,CF_NIV_SUIV,False,False,6,,Travaux de restructuration du stade nautique : création et réhabilitation des bassins extérieurs et construction d'un bâtiment
18-3194,2018-01-11 23:00:00,,2018-03-09 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,309,Revêtements muraux,CF_NIV_SUIV,False,False,6,,Travaux de restructuration du stade nautique : création et réhabilitation des bassins extérieurs et construction d'un bâtiment
18-3195,2018-01-09 23:00:00,2018-02-01 11:00:00,2018-01-31 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,404,Déchets non ménagers (prestations),CF_NIV_SUIV,False,False,64,,"Location de contenants, collecte et traitement des déchets d'activités des services techniques"
18-3196,2018-01-11 23:00:00,,2018-03-29 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,115,Equipements spécialisés,CF_NIV_SUIV,False,False,95,,"Vérification périodique, maintenance préventive et corrective, et fourniture de pièces détachées des ARI, des bouteilles d'air et des balises de détresse et de localisation du SDIS95."
18-3196,2018-01-11 23:00:00,,2018-03-29 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,209,Matériel de sécurité,CF_NIV_SUIV,False,False,95,,"Vérification périodique, maintenance préventive et corrective, et fourniture de pièces détachées des ARI, des bouteilles d'air et des balises de détresse et de localisation du SDIS95."
18-3199,2018-01-13 23:00:00,,2018-02-06 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,274,Prestations de services,CF_NIV_SUIV,False,False,31,,Organisation du transport des participants à la manifestation de valorisation des actions éducatives de la région Occitanie Pyrénées-méditerranée
