BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
10-70714,ville du Cateau-Cambrésis,None,frédéric Barré,,,"1, Rue Victor Hugo",59360,Le Cateau-Cambrésis,,,,,,,,,,,,False,False,,False,False
11-125182,Métropole de Lyon,None,Isabelle DUBREUIL,,,20 rue du LacCS33569,69003,Lyon cedex 03,,,,(+33)4-26-99-30-64,uniteachatproprete@grandlyon.com,http://marchespublics.grandlyon.com,http://marchespublics.grandlyon.com,,,,,False,False,,False,False
12-142028,Ville d'Ajaccio,None,M. le Maire d'Ajaccio,,,2 Avenue Antoine SerafiniBP 412,20304,Ajaccio,,(+33)4-95-52-53-04,,,marche-public@ca-ajaccien.fr,http://www.ca-ajaccien.corsica,http://www.achatpublic.com,,,,,False,False,,False,False
15-87069,MAIRIE DE LE POET-LAVAL,None,Monsieur BOURSALY Jean,,,1 place de la mairie,26160,Le poët-laval,,04-75-46-44-12,,,mairie.poet.laval@wanadoo.fr,http://www.lepoetlaval.org,http://www.e-marchespublics.com/,,,,,False,False,,False,False
16-51961,CCPI,None,,,FRH02,Zone de KerdrioualCS 10 078,29290,Lanrivoaré,,(+33) 2-98-32-37-81,,,tony.jouzel@ccpi.bzh,http://www.pays-iroise.bzh/,,,,,,False,True,,False,True
16-96658,Ministère de l'éducation nationale,11004301500012,,Mission des achats,FR101,"Ministère de l'éducation nationale, de l'enseignement supérieur et de la recherche.Secrétariat général Service de laction administrative et des moyens - Mission des achatsPour la Direction du numérique pour léducation - Service des technologies et des systèmes dinformation- Sous-direction des systèmes dinformation  Bureau des projets et des applications nationales.61-65, rue Dutot",75732,Paris cedex 15,,(+33) -15-55-13-88,,,romy.masse@education.gouv.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,,,,False,True,,False,True
17-100160,Ville de Castéra-Verduzan,None,,,FR,Place Odilon Lannelongue,32410,CASTERA-VERDUZAN,,,,,mairie.castera@wanadoo.fr,https://castera-verduzan.com,,,,,,False,False,,False,False
17-108399,ASSOCIATION ARAMIS,None,gilles GABIREAU,,,50 rue Henry Farman,75720,PARIS CEDEX 15,,06-85-29-97-03,,,gilles.gabireau@aviation-civile.gouv.fr,,,,,,,False,False,,False,False
17-113548,Conseil départemental de la Creuse,22230962700016,,,FRI22,Hôtel du Département  DAG  Bureau des Marchés Publics  4 place Louis Lacrocq  BP 250,23011,Guéret Cedex,,(+33) 5-44-30-26-73,,(+33) 5-44-30-26-84,bureau-marches@creuse.fr,https://marchespublics.creuse.fr,,,,https://marchespublics.creuse.fr,,False,True,,False,True
17-114685,COLLECTIVITE TERRITORIALE MARTINIQUE,None,M.le Président du conseil exécutif de la collectivité territoriale de la martinique,,,rue Gaston DEFFERRECS30137,97261,Fort-de-France Cedex,,,,,,,https://collectiviteterritorialedemartinique.achatpublic.com,,,,,False,False,,False,False
