BOAMP_AVIS_NUM,D_15_01_Conditionadministrative_Referencemarche,D_15_02_Conditionadministrative_Etudesconcours,D_15_03_Conditionadministrative_Recompenseslaureatoui,D_15_04_Conditionadministrative_Recompensesaureatnon,D_15_05_Conditionadministrative_Recompenseslaureat,D_15_06_Conditionadministrative_Indemnisationparticipants,D_15_07_Conditionadministrative_Conditionsremiseoffres,D_15_08_Conditionadministrative_Conditionsetmodepaiementobtenirdocuments,D_15_09_Conditionadministrative_Datelimiteobtentiondocuments,D_15_10_Conditionadministrative_Documentpayantoui,D_15_10_01_Conditionadministrative_Documentpayantoui_Valeur,D_15_10_01_01_Conditionadministrative_Documentpayantoui_Valeur_Value,D_15_10_01_02_Conditionadministrative_Documentpayantoui_Valeur_Devise,D_15_11_Conditionadministrative_Documentpayantnon,D_15_12_Conditionadministrative_Persouvertureoffresoui,D_15_13_Conditionadministrative_Persouvertureoffresnon,D_15_14_Conditionadministrative_Datedebutattribution,D_15_15_Conditionadministrative_Dateouvertureoffres,D_15_16_Conditionadministrative_Lieuouvertureoffres,D_15_17_Conditionadministrative_Abandonsadoui,D_15_18_Conditionadministrative_Abandonsadnon,D_15_19_Conditionadministrative_Finattributionoui,D_15_20_Conditionadministrative_Finattributionnon,D_15_21_Conditionadministrative_Envoielectroniqueavecoutiloui,D_15_22_Conditionadministrative_Envoielectroniqueavecoutilnon
16-108903,06/18/BAT,,False,False,,,"Les candidats doivent choisir entre la transmission électronique de leurs offres et leur envoi sur support papier, selon les modalités décrites à l'article 7 du règlement de consultation. Les plis sont cachetés et transmis par tout moyen permettant de déterminer de façon certaine la date et l'heure de leur réception et de garantir leur confidentialité. Ils peuvent être transmis : - par lettre recommandée avec demande d'avis de réception postal, - par Chronopost, ou - remis par dépôt direct, contre récépissé, à la Mairie de Noisiel - direction des Finances Marchés Publics -26 Place Emile Menier - secteur des Marchés Publics, 2e étage, Bureau 221, de 9 heures à 12 heures et de 14 heures à 17 heures du lundi au vendredi, exception faite du jeudi après-midi (Hôtel de Ville fermé au public), avec la mention : "" Proposition pour : Mission OPC - Reconstruction de l'école Jules Ferry "" - "" NE PAS OUVRIR "".Les candidats peuvent remettre leur offre par voie électronique sur la plateforme de dématérialisation : http://ville-noisiel.e-marchespublics.com.","Retrait du dossier : Gratuitement en base dématérialisée par téléchargement direct sur le site http://ville-noisiel.e-marchespublics.com, ou à titre onéreux contre un chèque de 5,00 euros à l'ordre du trésor public, sur demande d'envoi postal ou retrait, à l'adresse indiquée, Téléphone : 01 60 37 74 18 ou 73 49 ou 73 17 - courriel : marches@mairie-noisiel.fr.L'obtention des documents contractuels et additionnels est payante.",,CF_NIV_SUIV,CF_NIV_SUIV,5.0,EUR,False,,False,,,,,False,False,False,False,False
16-161210,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,True
17-118450,18PE006,,False,False,,,les plis pourront être remis en mains propres contre récépissé du lundi au vendredi de 8h30 à 12h00 et de 13h30 à 17h00 ou en lettre recommandée avec avis de réception à l'adresse indiquée ci-dessus.Les candidats pourront aussi transmettre de façon électronique leurs plis à l'adresse suivante : https://www.marches-publics.info . Modalités de remise des offres sous forme électronique : cf. Règlement de consultation.,Le dossier de consultation des entreprises est téléchargeable à l'adresse suivante : https://www.marches-publics.info (Affaire 18PE006),2018-05-23 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
17-131459,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,True
17-133669,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2018-05-15 00:00:00,Mairie d'HAZEBROUCK,,False,False,False,False,True
17-146662,18S0001,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
17-157423,2018-AC-COCON,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
17-160024,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2018-05-31 00:00:00,,,False,False,False,False,True
17-162807,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
17-164452,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2018-05-17 00:00:00,,,False,False,False,False,True
