BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
11-240993,False,False,False,False,True,False,False,
17-152495,False,False,False,False,False,False,True,
17-155149,False,False,False,False,True,False,False,
17-161477,False,False,False,False,False,False,True,
17-165661,False,False,False,False,True,False,False,
17-166606,False,False,False,False,False,False,True,
17-170359,False,False,False,False,False,False,False,
17-179847,False,False,False,False,False,False,False,
17-181087,False,False,False,False,False,False,True,
17-181848,False,False,False,True,False,False,False,
17-32200,False,False,False,True,False,False,False,
17-53045,False,False,False,False,True,False,False,
18-14,False,False,False,False,False,True,False,
18-1435,False,False,False,False,False,False,False,
18-15974,False,False,False,False,False,False,False,
18-18408,False,False,False,False,True,False,False,
18-20910,False,False,False,False,True,False,False,
18-21466,False,False,False,False,False,False,True,
18-21983,False,False,False,False,False,True,False,
18-24079,False,False,False,False,True,False,False,
18-26423,False,False,False,False,True,False,False,
18-28628,False,False,False,True,False,False,False,
18-28778,False,False,False,False,False,False,False,
18-28960,False,True,False,False,False,False,False,
18-29683,False,False,False,False,True,False,False,
18-32135,False,False,False,False,False,True,False,
18-35714,False,False,False,False,True,False,False,
18-36287,False,False,False,False,False,False,False,
18-37394,False,False,False,False,True,False,False,
18-37543,False,True,False,False,False,False,False,
18-39252,False,True,False,False,False,False,False,
18-39371,False,False,False,False,False,False,False,
18-39837,False,False,False,False,True,False,False,
18-39852,False,False,False,False,True,False,False,
18-40505,False,False,False,False,True,False,False,
18-40585,False,False,False,True,False,False,False,
18-40796,False,False,False,True,False,False,False,
18-40871,False,False,False,True,False,False,False,
18-41929,False,False,False,False,False,True,False,
18-42405,False,False,False,False,False,False,False,
18-42983,False,False,False,False,True,False,False,
18-43302,False,False,False,False,False,True,False,
18-43336,False,False,False,False,False,False,True,
18-43643,False,False,False,False,False,False,False,
18-43782,False,False,False,False,False,False,True,
18-44063,False,False,False,False,False,False,True,
18-44078,False,False,False,True,False,False,False,
18-44234,False,False,False,False,False,True,False,
18-44440,False,True,False,False,False,False,False,
18-44510,False,False,False,False,False,False,True,
18-44960,False,False,False,False,False,False,True,
18-45572,False,False,False,True,False,False,False,
18-45668,False,False,False,False,True,False,False,
18-45837,False,False,False,False,False,False,False,
18-45954,False,False,False,False,False,False,False,
18-46274,False,False,False,True,False,False,False,
18-46307,False,False,False,False,True,False,False,
18-46587,False,False,True,False,False,False,False,
18-46832,False,False,False,False,True,False,False,
18-46927,False,False,False,False,False,False,False,
18-47063,False,False,False,False,False,True,False,
18-47109,False,False,False,False,True,False,False,
18-47990,False,False,False,False,False,False,False,
18-48194,False,False,False,True,False,False,False,
18-48222,False,True,False,False,False,False,False,
18-48374,False,False,False,False,True,False,False,
18-48579,False,True,False,False,False,False,False,
18-48668,False,False,False,False,False,False,True,
18-49107,False,False,False,False,False,False,True,
18-49159,False,False,False,False,False,False,True,
18-49293,False,False,False,False,True,False,False,
18-49505,False,False,False,False,False,False,True,
18-49520,False,False,False,False,False,False,False,
18-4962,False,False,False,False,True,False,False,
18-49757,False,False,False,False,False,False,True,
18-50200,False,False,False,False,False,True,False,
18-50209,False,False,False,False,False,False,False,
18-50309,False,False,False,True,False,False,False,
18-50528,False,False,False,True,False,False,False,
18-50552,False,False,False,False,False,False,True,
18-50610,False,False,False,True,False,False,False,
18-50968,False,False,False,True,False,False,False,
18-51112,False,False,False,True,False,False,False,
18-51422,False,True,False,False,False,False,False,
18-51600,False,False,False,False,False,True,False,
18-51603,False,False,False,False,False,True,False,
18-51657,False,False,False,False,False,False,True,
18-51751,False,False,False,False,False,False,False,
18-51853,False,False,False,True,False,False,False,
18-51854,False,False,False,False,False,False,False,
18-51860,False,False,False,False,True,False,False,
18-51906,False,False,False,False,False,False,True,
18-52035,False,False,False,False,False,False,False,
18-52061,False,False,False,False,True,False,False,
18-52100,False,False,False,False,False,False,True,
18-52296,False,False,False,False,False,False,True,
18-52339,False,False,False,False,False,False,True,
18-52576,False,False,True,False,False,False,False,
18-52614,False,False,False,False,False,False,True,
18-52882,False,False,False,False,False,False,False,
18-52901,False,False,False,False,False,False,True,
18-53031,False,False,False,False,True,False,False,
18-53038,False,False,False,False,False,False,True,
18-53149,False,False,False,True,False,False,False,
18-53162,False,False,False,False,False,True,False,
18-53374,False,False,False,False,True,False,False,
18-53626,False,False,False,False,True,False,False,
18-53647,False,False,False,False,False,False,True,
18-53657,False,False,False,True,False,False,False,
18-53682,False,False,False,False,True,False,False,
18-53757,False,False,False,False,False,False,False,
18-53767,False,True,False,False,False,False,False,
18-54058,False,True,False,False,False,False,False,
18-54065,False,False,False,False,False,False,False,
18-54069,False,False,False,False,True,False,False,
18-54137,False,False,False,False,False,False,False,
18-54213,False,False,False,False,False,False,False,
18-54297,False,False,False,False,True,False,False,
18-54310,False,False,False,False,True,False,False,
18-54497,False,False,False,False,True,False,False,
18-54503,False,False,False,True,False,False,False,
18-54532,False,False,False,False,True,False,False,
18-54694,False,False,False,False,False,False,True,
18-55064,False,False,False,False,False,False,True,
18-55108,False,False,False,False,True,False,False,
18-55176,False,False,False,False,False,False,True,
18-55375,False,True,False,False,False,False,False,
18-55713,False,False,False,False,True,False,False,
18-55822,False,False,False,False,False,False,True,
18-55966,False,True,False,False,False,False,False,
18-55983,False,False,False,False,False,False,True,
18-56085,False,False,False,False,False,False,False,
18-56099,False,False,False,False,True,False,False,
