BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
15-172113,retenue de garantie prévue,"les prestations rémunérées dans les conditions fixées par les règles de comptabilité publique. Financement : Ressources propres de la Commune / Prix global et forfaitaire / Prix fermes et actualisables. Paiement par mandat administratif / Délai global de paiement de 30 jours, à compter de la date de réception de la facture par la Commune / Taux des intérêts moratoires celui de la B.C.E. En vigueur à la date à laquelle les intérêts ont commencé à courir, augmenté de huit points / Indemnité forfaitaire en sus pour frais de recouvrement fixée à 40 euros / Acomptes prévus / Avances prévues.","les candidatures et les offres seront présentées par une seule entreprise ou par un groupement d'entreprises. Aucune forme de groupement n'est imposée par le pouvoir adjudicateur. Toutefois en application de l'article 45-iii du Décret du 25/03/2016, en cas d'attribution à un groupement conjoint, le mandataire sera solidaire, pour l'exécution du marché, de chacun des membres du groupement pour ses obligations contractuelles. En application de l'article 45-v du Décret susvisé, il est interdit aux candidats de présenter plusieurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements, et en qualité de membres de plusieurs groupements.",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
17-103575,,,,False,True,,False,False,False,CF_NIV_SUIV,['FR'],
17-114171,Garanties à première demande,Rémunération mensuelle décomposée en prix forfaitaires et unitaires,,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
17-123822,,"La prestation sera financée sur le budget propre de la Région. Le paiement s'effectue suivant les règles de la comptabilité publique selon les dispositions du décret no 2013-269 du 29 mars 2013 relatif à la lutte contre les retards de paiement dans les contrats de commande publique. Le délai global de paiement ne peut excéder 30 jours. En cas de retard, le taux des intérêts moratoires est égal au taux d'intérêt appliqué par la Banque centrale européenne à ses opérations principales de refinancement les plus récentes, en vigueur au premier jour du semestre de l'année civile au cours duquel les intérêts moratoires ont commencé à courir, majoré de huit points de pourcentage. Une indemnité forfaitaire de 40 euros pour frais de recouvrement sera également due dès le premier jour de retard. Le mode de règlement est le virement par mandat administratif",,False,False,,False,True,False,CF_NIV_SUIV,,
17-132066,"Est prévue une retenue de garantie de 5 % qui peut être remplacée par une caution personnelle et solidaire si les deux parties en sont d'accord, ou par une garantie à première demande","Les sommes dues seront payées dans un délai global de 30 jours à compter de la réception de la facture correspondante.En cas de retard de paiement, les dispositions des articles 7, 8 et 9 du décret no 2013-269 du 29 mars 2013 sont applicables en ce qui concerne les intérêts moratoires et l'indemnité forfaitaire pour frais de recouvrement.Les modalités de révision sont indiquées dans le CCAP.Les prix sont globaux et forfaitaires. Ils sont révisables, non actualisables.Il n'y a pas d'avance.Chaque marché peut faire l'objet d'un nantissement ou d'une cession de créance dans des règles conformes aux textes en vigueur.Les groupements sont autorisés.",,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
17-13241,,,,True,False,,False,False,False,CF_NIV_SUIV,['FR'],
17-132467,,"-Financement sur le budget de fonctionnement du Département sur les recettes réelles de fonctionnement de l'exercice.-Participation financière de la Direction Régionale de l'Environnement, l'Aménagement et du Logement (DREAL). Règlement des comptes selon les modalités du CCAG-Prestations Intellectuelles. Délai global de paiement : 30 jours.","Le pouvoir adjudicateur n'impose aucune forme de groupement. Cependant, si le groupement est conjoint, le mandataire devra être solidaire.Il est interdit aux candidats de présenter plusieurs offres en agissant à la fois :- En qualité de candidats individuels et de membres d'un ou plusieurs groupements ; - En qualité de membres de plusieurs groupements.",False,False,,False,True,True,CF_NIV_SUIV,,
17-137107,"Est prévue une retenue de garantie de 5 % qui peut être remplacée par une caution personnelle et solidaire si les deux parties en sont d'accord, ou par une garantie à première demande.","Les sommes dues seront payées dans un délai global de 30 jours à compter de la réception de la facture correspondante.En cas de retard de paiement, les dispositions des articles 7, 8 et 9 du décret no 2013-269 du 29 mars 2013 sont applicables en ce qui concerne les intérêts moratoires et l'indemnité forfaitaire pour frais de recouvrement.Les modalités de révision sont indiquées dans le CCAP.Les prix sont globaux et forfaitaires. Il sont révisables, non actualisables.Il n'y a pas d'avance.Chaque marché peut faire l'objet d'un nantissement ou d'une cession de créance dans des règles conformes aux textes en vigueur.Les groupements sont autorisés.",,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
17-139580,"Est prévue une retenue de garantie de 5 % qui peut être remplacée par une caution personnelle et solidaire si les deux parties en sont d'accord, ou par une garantie à première demande.","Les financements seront réalisés par CRETEIL-HABITAT-SEMIC.Les sommes dues seront payées dans un délai global de 30 jours à compter de la réception de la facture correspondante.En cas de retard de paiement, les dispositions des articles 7, 8 et 9 du décret no 2013-269 du 29 mars 2013 sont applicables en ce qui concerne les intérêts moratoires et l'indemnité forfaitaire pour frais de recouvrement.Les modalités de révision sont indiquées dans le CCAP.Les prix sont globaux et forfaitaires. Ils sont révisables, non actualisables.Il n'y a pas d'avance.Chaque marché peut faire l'objet d'un nantissement ou d'une cession de créance dans des règles conformes aux textes en vigueur.",,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
17-139679,"Conformément à l'article 122 du décret no2016-360 du 25 mars 2016 relatif aux marchés publics, lorsqu'ils comportent un délai garanti, une retenue de garantie d'un montant de 5% du montant du marché, augmenté le cas échéant du montant des avenants, sera retenue sur les différentes situations, ce taux sera ramené à 2,5% après la réception des travaux.","Conformément à l'article 13 du CCAG, les projets de décompte mensuel et final seront remis au maître d'oeuvre.",Groupement solidaire,False,False,,False,True,False,CF_NIV_SUIV,,
