BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
18-91039,False,False,True,False,False,False,
18-91040,False,False,True,False,False,False,
18-91051,False,False,True,False,False,False,
18-91057,False,False,True,False,False,False,
18-91059,False,False,False,False,True,False,
18-91065,False,False,False,False,True,False,
18-91072,True,False,False,False,False,False,
18-91074,False,False,False,False,True,False,
18-91075,False,False,False,False,True,False,
18-91076,True,False,False,False,False,False,
18-91078,True,False,False,False,False,False,
18-91085,False,False,False,False,True,False,
18-91086,True,False,False,False,False,False,
18-91089,False,False,False,False,False,False,Société d'Economie Mixte
18-91091,False,False,False,False,True,False,
18-91095,False,False,False,False,False,False,OPH
18-91098,False,False,False,False,False,False,Organisme Consulaire
18-91099,False,False,False,False,False,False,Etablissement public de santé
18-91100,True,False,False,False,False,False,
18-91102,False,False,False,False,True,False,
18-91104,True,False,False,False,False,False,
18-91105,False,False,True,False,False,False,
18-91106,False,False,True,False,False,False,
18-91117,True,False,False,False,False,False,
18-91118,True,False,False,False,False,False,
18-91121,True,False,False,False,False,False,
18-91123,False,False,True,False,False,False,
18-91124,False,False,True,False,False,False,
18-91129,False,False,False,False,False,False,"Etablissement public à caractère scientifique, culturel et professionnel"
18-91130,False,False,False,False,False,False,Enseignement supérieur et recherche
18-91131,False,False,True,False,False,False,
18-91133,False,False,False,False,False,False,Etablissements socio-médico-éducatif
18-91134,False,False,True,False,False,False,
18-91150,False,False,False,False,True,False,
18-91155,False,False,False,False,False,False,Centre Hospitalier Universitaire
18-91203,False,False,False,False,True,False,
18-91229,False,False,False,False,False,False,organisme de tourisme
18-91234,False,False,False,False,False,False,organisme de tourisme
18-91246,False,False,True,False,False,False,
18-91256,False,False,True,False,False,False,
18-91257,False,False,False,False,False,False,EPS
18-91262,False,False,True,False,False,False,
18-91263,False,False,True,False,False,False,
18-91265,False,False,True,False,False,False,
18-91266,False,False,False,False,False,False,Établissement Public de Coopération Intercommunale
18-91267,False,False,False,False,False,False,syndicat mixte
18-91269,False,False,True,False,False,False,
18-91270,False,False,True,False,False,False,
18-91271,False,False,True,False,False,False,
18-91278,False,False,True,False,False,False,
18-91283,False,False,False,False,False,False,autre
18-91293,False,False,False,False,False,False,sante
18-91296,False,False,True,False,False,False,
18-91299,False,False,False,False,False,False,"Tourisme, sports et culture"
18-91300,True,False,False,False,False,False,
18-91311,False,False,False,False,True,False,
18-91315,False,False,False,False,True,False,
18-91322,False,False,False,False,False,False,Fondation reconnue dutilité publique
18-91329,False,False,False,False,True,False,
18-91330,False,False,False,False,True,False,
18-91331,False,False,False,False,True,False,
18-91333,False,False,True,False,False,False,
18-91336,False,False,True,False,False,False,
18-91337,True,False,False,False,False,False,
18-91342,True,False,False,False,False,False,
18-91344,False,False,False,False,False,False,Syndicat Mixte d'Assainissement de la Seille Aval
18-91345,False,False,True,False,False,False,
18-91351,False,False,True,False,False,False,
18-91364,False,False,False,False,True,False,
18-91366,False,False,False,False,False,False,Organisme de sécurité sociale
18-91370,False,False,False,False,False,False,Etablissement public de coopération intercommunale
18-91371,False,False,False,False,False,False,Etablissement Public de Santé (EPS)
18-91375,False,False,False,False,True,False,
18-91378,False,False,True,False,False,False,
18-91382,False,False,False,False,False,False,Etablissement public de coopération intercommunale
18-91384,False,False,False,False,True,False,
18-91385,False,False,True,False,False,False,
18-91391,False,False,False,False,False,False,EPCI
18-91392,False,False,False,False,False,False,Centre technique industriel
18-91394,False,False,True,False,False,False,
18-91396,False,False,False,False,True,False,
18-91403,False,False,False,False,True,False,
18-91406,False,True,False,False,False,False,
18-91412,False,False,True,False,False,False,
18-91415,False,False,False,False,False,False,Etablissement Public de Coopération intercommunale
18-91416,False,False,False,False,False,False,bailleur social
18-91421,False,False,False,False,True,False,
18-91423,False,False,True,False,False,False,
18-91424,False,False,True,False,False,False,
18-91426,False,False,True,False,False,False,
18-91427,False,False,False,False,False,False,Collectivité territoriale à statut particulier
18-91430,False,False,False,False,False,False,etablissement public de coopération intercommunale
18-91431,False,False,False,False,True,False,
18-91433,False,False,False,False,True,False,
18-91438,False,False,False,False,True,False,
18-91440,False,False,True,False,False,False,
18-91441,False,False,True,False,False,False,
18-91446,True,False,False,False,False,False,
18-91448,True,False,False,False,False,False,
18-91451,False,False,True,False,False,False,
18-91453,False,False,False,False,False,False,Société publique locale
18-91457,False,False,False,False,True,False,
18-91459,True,False,False,False,False,False,
18-91468,True,False,False,False,False,False,
18-91470,False,False,False,False,False,False,OPH
18-91476,False,False,False,False,True,False,
18-91478,False,False,True,False,False,False,
18-91479,False,False,False,False,True,False,
18-91480,False,False,False,False,False,False,EPCI
18-91481,False,False,False,False,True,False,
18-91483,False,False,True,False,False,False,
18-91484,False,False,False,False,True,False,
18-91486,True,False,False,False,False,False,
18-91487,False,False,False,False,True,False,
18-91489,False,False,True,False,False,False,
18-91490,False,False,False,True,False,False,
18-91494,False,False,True,False,False,False,
18-91503,False,False,True,False,False,False,
18-91511,True,False,False,False,False,False,
18-91513,False,False,True,False,False,False,
18-91517,False,False,False,False,False,False,Etablissement Public de Coopération Intercommunale
18-91523,False,False,True,False,False,False,
18-91524,False,False,True,False,False,False,
18-91526,False,False,False,False,True,False,
18-91527,False,False,True,False,False,False,
18-91528,False,False,False,False,True,False,
18-91531,False,False,False,False,True,False,
18-91532,False,False,False,False,False,False,Établissement public industriel et commercial
18-91533,False,False,True,False,False,False,
18-91535,False,False,False,False,False,False,Organisme consulaire
18-91536,False,False,True,False,False,False,
18-91539,False,False,True,False,False,False,
18-91540,False,False,True,False,False,False,
18-91541,True,False,False,False,False,False,
18-91547,True,False,False,False,False,False,
18-91548,False,False,True,False,False,False,
18-91549,False,False,False,False,False,False,Etablissement Public de Coopération intercommunale
18-91550,False,False,False,False,False,False,Collectivité territoriale
18-91552,False,False,True,False,False,False,
18-91554,False,False,True,False,False,False,
18-91555,True,False,False,False,False,False,
18-91564,False,False,False,False,False,False,Etablissement Public de Coopération intercommunale
18-91572,False,False,True,False,False,False,
18-91576,False,False,True,False,False,False,
18-91577,False,False,True,False,False,False,
18-91580,False,False,False,False,False,False,Collectivité territoriale
18-91581,False,False,True,False,False,False,
18-91584,False,False,False,False,False,False,Etablissement public administratif
18-91586,False,False,False,False,False,False,Etablissement Public de Coopération intercommunale
18-91599,False,False,True,False,False,False,
18-91603,False,False,True,False,False,False,
18-91604,False,False,True,False,False,False,
18-91605,False,False,True,False,False,False,
18-91607,True,False,False,False,False,False,
18-91608,False,False,True,False,False,False,
18-91612,False,False,True,False,False,False,
18-91616,True,False,False,False,False,False,
18-91622,True,False,False,False,False,False,
18-91623,False,False,True,False,False,False,
18-91624,False,False,False,False,True,False,
18-91628,False,False,False,False,False,False,Groupement de commandes
18-91630,False,False,True,False,False,False,
18-91631,False,False,True,False,False,False,
18-91633,False,False,False,False,False,False,Groupement de commandes
18-91634,False,False,True,False,False,False,
18-91635,False,False,True,False,False,False,
18-91637,False,False,False,False,False,False,Groupement de commandes
18-91639,False,False,False,False,False,False,Etablissement public de santé
18-91640,False,False,False,False,False,False,ETABLISSEMENT PUBLIC DE SANTE
18-91641,False,False,False,False,False,False,Groupement de commandes
18-91642,False,False,True,False,False,False,
18-91643,True,False,False,False,False,False,
18-91645,False,False,False,False,False,False,ETABLISSEMENT PUBLIC DE SANTE
18-91648,False,False,False,False,False,False,Groupement de commandes
18-91650,False,False,True,False,False,False,
18-91651,False,False,False,False,True,False,
18-91654,False,False,True,False,False,False,
18-91656,False,False,False,False,False,False,Groupement de commandes
18-91659,False,False,True,False,False,False,
18-91660,False,False,False,False,True,False,
18-91661,True,False,False,False,False,False,
18-91663,True,False,False,False,False,False,
18-91665,False,False,True,False,False,False,
18-91666,False,False,True,False,False,False,
18-91679,False,False,False,False,True,False,
18-91681,False,False,False,False,True,False,
18-91682,False,False,False,False,True,False,
18-91686,False,False,True,False,False,False,
18-91687,False,False,False,False,False,False,Collectivité territoriale : commune
18-91688,False,False,False,False,False,False,Centre Hospitalier
18-91690,False,False,False,False,True,False,
18-91693,False,False,False,False,True,False,
18-91694,False,False,True,False,False,False,
18-91700,False,False,False,False,False,False,Collectivité Territoriale
18-91701,False,False,False,False,True,False,
18-91702,False,False,False,False,False,False,Collectivite Territoriale
18-91705,False,False,False,False,False,False,Collectivité Territoriale
18-91706,False,False,True,False,False,False,
18-91712,False,False,False,False,False,False,autre
18-91715,False,False,True,False,False,False,
18-91716,False,False,True,False,False,False,
18-91721,False,False,True,False,False,False,
18-91729,False,False,True,False,False,False,
18-91731,False,False,False,False,True,False,
18-91732,False,False,True,False,False,False,
18-91733,False,False,False,False,True,False,
18-91734,False,False,False,False,True,False,
18-91737,False,False,False,False,True,False,
18-91739,False,False,True,False,False,False,
18-91740,True,False,False,False,False,False,
18-91745,False,True,False,False,False,False,
18-91753,False,False,True,False,False,False,
18-91754,False,False,True,False,False,False,
18-91757,False,False,True,False,False,False,
18-91760,False,False,False,False,False,False,Établissement public de coopération intercommunale
18-91764,False,False,False,False,False,False,collectivité territoriale
18-91766,False,True,False,False,False,False,
18-91771,False,False,True,False,False,False,
18-91777,False,False,False,False,True,False,
18-91780,False,False,True,False,False,False,
18-91781,False,False,False,False,False,False,Fondation
18-91783,False,False,True,False,False,False,
18-91787,True,False,False,False,False,False,
18-91793,False,False,False,False,True,False,
18-91794,False,False,True,False,False,False,
18-91795,True,False,False,False,False,False,
18-91797,False,False,True,False,False,False,
18-91800,False,False,True,False,False,False,
18-91801,True,False,False,False,False,False,
18-91802,False,False,True,False,False,False,
18-91803,False,False,True,False,False,False,
18-91804,False,False,True,False,False,False,
18-91807,False,False,False,False,False,False,Chambre consulaire
18-91808,False,False,False,False,False,False,Etablissement Public de Santé
18-91811,False,False,True,False,False,False,
18-91816,False,False,True,False,False,False,
18-91818,False,False,True,False,False,False,
18-91821,False,False,False,False,False,False,Département
18-91822,True,False,False,False,False,False,
18-91823,False,False,False,False,False,False,Centrale d'achat
18-91825,False,False,True,False,False,False,
18-91829,False,False,False,False,True,False,
18-91831,False,False,True,False,False,False,
18-91834,False,False,True,False,False,False,
18-91838,False,False,True,False,False,False,
18-91843,False,False,False,False,True,False,
18-91844,False,False,False,False,True,False,
18-91846,False,False,True,False,False,False,
18-91857,False,False,False,False,True,False,
18-91862,False,False,True,False,False,False,
18-91863,False,False,True,False,False,False,
18-91865,False,False,True,False,False,False,
18-91866,True,False,False,False,False,False,
18-91867,False,False,False,False,True,False,
18-91872,False,False,False,False,False,False,Logement social
18-91876,False,False,True,False,False,False,
18-91879,False,False,True,False,False,False,
18-91880,False,False,False,False,True,False,
18-91883,False,False,True,False,False,False,
18-91886,False,False,False,False,True,False,
18-91892,False,False,True,False,False,False,
18-91893,False,False,True,False,False,False,
18-91894,False,False,False,False,True,False,
18-91896,False,False,False,False,False,False,GIE
18-91899,False,False,True,False,False,False,
18-91900,False,False,False,False,False,False,Établissement public de santé
18-91903,False,False,False,False,True,False,
18-91904,True,False,False,False,False,False,
18-91905,False,False,False,False,True,False,
18-91907,False,False,True,False,False,False,
18-91908,False,False,False,False,False,False,EPCI
18-91909,False,False,True,False,False,False,
18-91910,False,False,True,False,False,False,
18-91911,False,False,True,False,False,False,
18-91912,False,False,False,False,False,False,Etablissement public de santé
18-91914,False,False,False,False,True,False,
18-91916,False,False,False,False,True,False,
18-91919,True,False,False,False,False,False,
18-91920,False,False,True,False,False,False,
18-91926,False,False,True,False,False,False,
18-91930,False,False,True,False,False,False,
18-91939,False,False,True,False,False,False,
18-91943,True,False,False,False,False,False,
18-91944,True,False,False,False,False,False,
18-91945,True,False,False,False,False,False,
18-91946,False,False,True,False,False,False,
18-91947,False,False,True,False,False,False,
18-91949,True,False,False,False,False,False,
18-91950,False,False,False,False,False,False,Etablissement public à caractère industriel et commerciel
18-91952,False,False,False,False,False,False,Centre Hospitalier
18-91954,False,False,True,False,False,False,
18-91962,False,False,False,False,False,False,Etablissement public de santé
18-91964,False,False,True,False,False,False,
18-91967,False,False,False,False,True,False,
18-91970,False,False,False,False,False,False,Santé
18-91971,False,False,False,False,False,False,Santé
18-91972,False,False,True,False,False,False,
18-91973,False,False,False,False,False,False,Groupement de commandes
18-91979,False,False,True,False,False,False,
18-91980,False,False,False,False,False,False,Immobilier et Aménagement
18-91988,False,False,True,False,False,False,
18-91997,False,False,True,False,False,False,
18-91999,False,False,False,False,True,False,
18-92001,False,False,True,False,False,False,
18-92002,False,False,True,False,False,False,
18-92006,False,False,True,False,False,False,
18-92007,False,False,True,False,False,False,
18-92010,False,False,False,False,False,False,société d'économie mixte
18-92011,False,False,False,False,False,False,Etablissement médico-social
18-92013,False,False,False,False,True,False,
18-92015,False,False,False,False,False,False,Association loi 1901
18-92024,False,False,True,False,False,False,
18-92025,False,False,False,False,True,False,
18-92029,False,False,True,False,False,False,
18-92035,True,False,False,False,False,False,
18-92050,False,False,True,False,False,False,
18-92056,False,False,False,False,False,False,EPS
18-92058,False,False,True,False,False,False,
18-92059,False,False,True,False,False,False,
18-92060,False,False,True,False,False,False,
18-92063,False,False,True,False,False,False,
18-92066,False,False,True,False,False,False,
18-92069,False,False,False,False,False,False,GROUPEMENT DE COMMANDES
18-92071,False,False,True,False,False,False,
18-92075,False,False,False,False,False,False,centre hospitalier
18-92081,False,False,True,False,False,False,
18-92085,False,False,False,True,False,False,
18-92092,False,False,True,False,False,False,
18-92093,False,False,True,False,False,False,
18-92094,False,False,True,False,False,False,
18-92103,False,False,True,False,False,False,
18-92108,True,False,False,False,False,False,
18-92110,False,False,False,False,False,False,GROUPEMENT DE COMMANDES
18-92118,False,False,True,False,False,False,
18-92119,False,False,False,False,True,False,
18-92120,False,False,True,False,False,False,
18-92121,False,False,True,False,False,False,
18-92130,False,False,False,False,False,False,GROUPEMENT DE COMMANDES
18-92137,False,False,True,False,False,False,
18-92138,False,False,True,False,False,False,
18-92145,True,False,False,False,False,False,
18-92146,False,False,True,False,False,False,
18-92147,False,False,True,False,False,False,
18-92160,False,False,False,False,False,False,GROUPEMENT DE COMMANDES
18-92161,False,False,True,False,False,False,
18-92165,False,False,True,False,False,False,
18-92179,False,False,True,False,False,False,
18-92180,False,False,True,False,False,False,
18-92181,False,False,True,False,False,False,
18-92182,False,False,False,False,False,False,Université
18-92183,False,False,False,False,False,False,autre
18-92189,False,False,True,False,False,False,
18-92191,False,False,True,False,False,False,
18-92192,True,False,False,False,False,False,
18-92194,False,False,True,False,False,False,
18-92195,False,False,False,False,False,False,Établissement de santé
18-92199,False,False,True,False,False,False,
18-92201,False,False,False,False,True,False,
18-92208,False,False,False,False,False,False,ETABLISSEMENT PUBLIC AUTONOME
18-92209,False,False,False,False,True,False,
18-92210,False,False,False,False,True,False,
18-92211,False,False,False,False,True,False,
18-92213,False,False,True,False,False,False,
18-92216,False,False,False,False,False,False,Association secteur  médico social
18-92222,False,False,True,False,False,False,
18-92228,False,False,True,False,False,False,
18-92237,False,False,True,False,False,False,
18-92240,True,False,False,False,False,False,
18-92242,False,False,False,False,True,False,
18-92245,False,False,True,False,False,False,
18-92246,False,False,False,False,True,False,
18-92247,False,False,False,False,True,False,
18-92251,False,False,True,False,False,False,
18-92253,False,False,False,False,False,False,Université
18-92258,False,False,False,False,True,False,
18-92261,False,False,True,False,False,False,
18-92267,False,False,True,False,False,False,
18-92269,False,False,True,False,False,False,
18-92273,False,False,False,False,True,False,
18-92277,True,False,False,False,False,False,
18-92278,False,False,False,False,False,False,ETABLISSEMENT PUBLIC AUTONOME
18-92279,False,False,True,False,False,False,
18-92280,False,False,False,False,False,False,EPST
18-92281,False,False,True,False,False,False,
18-92282,False,False,False,False,True,False,
18-92283,False,False,True,False,False,False,
18-92286,False,False,True,False,False,False,
18-92288,True,False,False,False,False,False,
18-92291,False,False,True,False,False,False,
18-92293,False,False,False,False,False,False,centre hospitalier
18-92296,False,False,True,False,False,False,
18-92307,False,False,False,False,False,False,commune
18-92309,True,False,False,False,False,False,
18-92316,False,False,True,False,False,False,
18-92317,False,False,True,False,False,False,
18-92321,False,False,False,False,True,False,
18-92325,False,False,False,False,False,False,Commune
18-92326,False,False,True,False,False,False,
18-92328,False,False,False,False,False,False,Etablissement public de santé
18-92331,False,False,True,False,False,False,
18-92332,False,False,False,False,False,False,groupement de coopération sanitaire
18-92333,False,False,False,False,True,False,
18-92339,False,False,False,False,False,False,Société par actions simplifiée dont l'actionnaire unique est l'Etat
18-92341,False,False,False,False,False,False,Immobilier et Aménagement
18-92345,False,False,False,False,True,False,
18-92354,False,False,True,False,False,False,
18-92359,False,False,False,False,False,False,Organisme de sécurité sociale
18-92365,False,False,True,False,False,False,
18-92366,False,False,True,False,False,False,
18-92368,False,False,False,False,True,False,
18-92369,False,False,False,False,True,False,
18-92374,False,False,False,False,False,False,Etablissement Public de coopération intercommunale
18-92376,False,False,True,False,False,False,
18-92377,False,False,True,False,False,False,
18-92381,False,False,True,False,False,False,
18-92384,False,False,False,False,True,False,
18-92385,False,False,False,False,True,False,
18-92386,False,False,True,False,False,False,
18-92389,False,False,True,False,False,False,
18-92390,True,False,False,False,False,False,
18-92393,False,False,True,False,False,False,
18-92395,False,False,False,False,False,False,collectivité territoriale
18-92397,False,False,True,False,False,False,
18-92401,False,False,False,False,False,False,Santé
18-92405,False,False,False,False,True,False,
18-92406,False,False,True,False,False,False,
18-92408,True,False,False,False,False,False,
18-92411,False,False,True,False,False,False,
18-92413,False,False,False,False,False,False,Sénat
18-92414,False,False,False,False,True,False,
18-92418,False,False,True,False,False,False,
18-92419,False,False,False,False,False,False,Association Installation à Domicile Epurations Rénales
18-92421,False,False,True,False,False,False,
18-92430,False,False,True,False,False,False,
18-92433,False,False,True,False,False,False,
18-92438,False,False,False,False,False,False,Etablissement médico-social
18-92439,False,False,True,False,False,False,
18-92441,False,False,True,False,False,False,
18-92443,False,False,False,True,False,False,
18-92447,False,False,True,False,False,False,
18-92448,False,False,True,False,False,False,
18-92449,False,False,False,False,False,False,"Etablissements publics de santé, établissements publics sociaux et médico-sociaux, groupement de coopération sanitaire"
18-92451,False,False,True,False,False,False,
18-92453,False,False,False,False,True,False,
18-92457,False,False,False,False,True,False,
18-92458,False,False,False,False,False,False,SA HLM
18-92462,False,False,True,False,False,False,
18-92464,False,False,False,False,False,False,VILLE DE BERGHEIM
18-92467,False,False,False,False,False,False,collectivité territoriale
18-92469,True,False,False,False,False,False,
18-92470,False,False,True,False,False,False,
18-92471,False,False,False,False,True,False,
18-92472,True,False,False,False,False,False,
18-92479,False,False,True,False,False,False,
18-92480,False,False,True,False,False,False,
18-92482,True,False,False,False,False,False,
18-92487,False,False,False,False,True,False,
18-92490,False,False,False,False,False,False,EPS
18-92492,False,False,True,False,False,False,
18-92496,False,False,False,False,False,False,Fondation
18-92500,False,False,True,False,False,False,
18-92503,False,False,True,False,False,False,
18-92507,False,False,True,False,False,False,
18-92508,False,False,False,False,False,False,EPCI
18-92509,False,False,True,False,False,False,
18-92512,True,False,False,False,False,False,
18-92513,False,False,True,False,False,False,
18-92515,False,False,False,False,False,False,Etablissement public de coopération intercommunale
18-92519,False,False,True,False,False,False,
18-92520,True,False,False,False,False,False,
18-92521,False,False,True,False,False,False,
18-92522,False,False,True,False,False,False,
18-92524,False,False,True,False,False,False,
18-92527,False,False,False,False,False,False,autre
18-92529,False,False,False,False,False,False,autre
18-92530,False,False,False,False,False,False,autre
18-92532,False,False,False,False,False,False,autre
18-92533,False,False,True,False,False,False,
18-92534,False,False,True,False,False,False,
18-92537,False,False,False,True,False,False,
18-92539,False,False,False,False,False,False,autre
18-92540,False,False,True,False,False,False,
18-92541,False,False,False,False,False,False,Etablissement Public de Santé
18-92543,False,False,False,False,False,False,établissement public local
18-92545,False,False,True,False,False,False,
18-92546,False,False,True,False,False,False,
18-92549,False,False,False,False,True,False,
18-92552,False,False,False,False,True,False,
18-92554,False,False,True,False,False,False,
18-92556,False,False,True,False,False,False,
18-92559,True,False,False,False,False,False,
18-92565,True,False,False,False,False,False,
18-92566,False,False,True,False,False,False,
18-92573,False,False,True,False,False,False,
18-92575,False,False,True,False,False,False,
18-92578,False,False,False,False,True,False,
18-92579,False,False,False,False,False,False,Etablissement Public de Santé
18-92581,True,False,False,False,False,False,
18-92585,False,False,False,False,True,False,
18-92588,False,False,False,False,True,False,
18-92589,False,False,False,False,False,False,Etablissement de santé
18-92590,False,False,False,True,False,False,
18-92591,False,False,True,False,False,False,
18-92594,False,False,False,True,False,False,
18-92596,False,False,True,False,False,False,
18-92599,False,False,False,True,False,False,
18-92600,False,False,False,False,True,False,
18-92601,False,False,False,False,True,False,
18-92608,True,False,False,False,False,False,
18-92610,False,False,True,False,False,False,
18-92611,False,False,False,False,True,False,
18-92612,False,False,False,False,False,False,collectivité locale
18-92616,False,False,True,False,False,False,
18-92620,False,False,False,False,True,False,
18-92622,False,False,False,False,False,False,Fondation
18-92633,False,False,True,False,False,False,
18-92634,False,False,False,True,False,False,
18-92637,False,False,False,False,True,False,
18-92640,False,False,False,False,True,False,
18-92643,False,False,False,False,True,False,
18-92646,False,False,False,False,True,False,
18-92647,False,False,False,False,False,False,EPLE
18-92648,False,False,False,False,False,False,Etablissement public de coopération intercommunale
18-92655,False,False,False,False,True,False,
18-92660,False,False,False,False,False,False,Etablissement public de Santé
18-92662,False,False,True,False,False,False,
18-92663,False,False,False,False,True,False,
18-92665,False,False,True,False,False,False,
