BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
18-115401,Grand Port Maritime de la Guyane,None,,,FRY30,,None,REMIRE-MONTJOLY,,,,,publication_marche@portdeguyane.fr,http://www.marches-publics.gouv.fr,,,https://www.marches-publics.gouv.fr,https://www.marches-publics.gouv.fr,,False,True,,False,True
18-115403,SYND MIXTE DU PARC ROUTIER DE REUNION,None,MASSAIN Michel,,,13 Allée Maureau ZI du Chaudron,97490,Sainte clotilde,,,,,michel.massain@smprr.re,http://www.facebook.com/parcroutier974,http://www.achatpublic.com,,,,,False,False,,False,False
18-115404,FranceAgriMer,None,SAF - unité achats marchés,,,"12, rue Henri Rol Tanguy",93555,Montreuil Cédex,,(+33)1-73-30-20-00,,(+33)1-73-30-30-34,mpublics@franceagrimer.fr,,http://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=391422&orgAcronyme=b4n,,,,,False,False,,False,False
18-115405,Ville de Rochefort-du-Gard,None,"Madame Dominique RIBERI, Maire",,,place du Lavoir,30650,Rochefort du Gard,,,,,,http://www.ville-rochefortdugard.fr,,,,,,False,False,,False,False
18-115409,Communauté Communes Parthenay-Gâtine,None,M. Le Président,,,CS80192,79205,Parthenay Cedex,,05-49-94-03-77,,,cc-parthenay@cc-parthenay.fr,http://www.cc-parthenay.fr,http://www.achatpublic.com,,,,,False,False,,False,False
18-115411,IDEFHI,None,Le Directeur Général,,,38 Route de sahurs - cs 10004,76380,Canteleu,,,,,,,http://www.e-marchespublics.com,,,,,False,False,,False,False
18-115412,Département de la Marne,None,,Service des Achats et des Marchés Publics,FRF23,"02bis, Rue de Jessaint - CS 30454",51038,Châlons-en-Champagne cedex,,(+33) 3-26-69-49-68,,(+33) 3-26-69-51-29,marchespublics@marne.fr,http://www.marne.fr,http://www.xmarches.fr,,http://www.xmarches.fr,http://www.xmarches.fr,,False,True,,False,True
18-115413,Cté. d'Agglo. du Soissonnais,SIRET : 240 200 477 00026,,Monsieur Jean-Marie CARRE,FRE21,11 Avenue François Mitterrand - Les Terrasses du Mail,02880,Cuffies,,(+33) 3-23-53-88-40,,,marches.publics@agglo-soissonnais.com,http://agglo.grandsoissons.com/accueil-3.html,http://proxilegales.fr/publisher_portail/public/annonce/afficherAnnonces.jsp?design_use_organisation_id=36065,,http://proxilegales.fr/publisher_portail/public/annonce/afficherAnnonces.jsp?design_use_organisation_id=36065,http://proxilegales.fr/publisher_portail/public/annonce/afficherAnnonces.jsp?design_use_organisation_id=36065,,True,False,,False,True
18-115414,Ville de Marseille,None,,Direction des Ressources Partagées marchespublic-scefonctionnel@marseille.fr,FRL04,Direction Générale Adjointe de l'Attractivité et de la Promotion de Marseille 2 rue de la Prison,13233,Marseille cedex 20,,,,,dgaj-dmp@marseille.fr,http://www.marseille.fr/,http://marchespublics.mairie-marseille.fr,,http://marchespublics.mairie-marseille.fr,http://marchespublics.mairie-marseille.fr,http://marchespublics.mairie-marseille.fr,False,True,,False,True
18-115415,IDEFHI,None,Le Directeur Général,,,38 route de sahurs - cs 10004,76380,Canteleu,,,,,,,http://www.e-marchespublics.com,,,,,False,False,,False,False
18-115416,METEO FRANCE,18006003002117,,,FR,73 avenue de Paris,94165,Saint-mandé cedex,,(+33) 1-77-94-76-65,,,accueil.marches@meteo.fr,http://www.meteofrance.com,,,,,,False,True,,False,True
18-115417,Ville de Sotteville-lès-Rouen,None,"Mme PANE Luce, Maire",,,Place de l'Hôtel de Ville BP 19,76301,Sotteville lès rouen cedex,,02-35-35-60-77,,,assistante.marches@mairie-sotteville-les-rouen.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
18-115418,Ville de Marseille,None,"Mme Burucoa Helene, Directrice des ressources Partagées de la DGAAPM",Direction des Ressources Partagées,,DGAAPM Maison Diamantée 2 rue de la Prison,13233,Marseille cedex 20,,04-91-14-64-86,,,marchespublic-scefonctionnel@marseille.fr,http://marseille.fr,http://marchespublics.mairie-marseille.fr,,,,,False,False,,False,False
18-115419,CHU DE LILLE,None,"Mme BEAUCIER Michèle, CHU de LILLLE","CHU de Lille - à l'attention de Mme BEAUCIER Michèle, Département des Ressources Physiques - Direction des Achats - Service des marchés - rue Philippe Marache - 59037 Lille Cédex",,CS 70001,59037,Lille cedex,,03-20-44-41-11,,03-20-44-47-23,michele.beaucier@chru-lille.fr,http://www.chru-lille.fr,https://www.marches-publics.gouv.fr,,,,,False,False,,False,False
18-115420,CG Loir et Cher,None,,Service marchés publics,FRB05,Place de la République,41020,Blois Cedex,,(+33) 2-54-58-41-41,,(+33) 2-54-58-42-28,sec.marches@cg41.fr,http://www.le-loir-et-cher.fr,http://www.marches-securises.fr/perso/cg41/,,,,,False,True,,False,True
18-115422,IDEFHI,None,Le Directeur Général,,,38 route de sahurs - cs 10004,76380,Canteleu,,,,,,,http://www.e-marchespublics.com,,,,,False,False,,False,False
18-115423,EPAFRANCE,None,,,FR102,5 Boulevard Pierre Carle CS 60084 Noisiel,77448,Marne la vallée cedex 2,,(+33) 1-64-62-45-41,,,c.lefort@epa-marnelavallee.fr,http://www.epa-marnelavallee.fr,,,,,,False,True,,False,True
18-115424,Ville de Chelles,None,Direction de la Commande Publique,,,Parc du souvenir Emile Fouchard,77500,Chelles,,01-64-72-85-66,,01-64-72-88-17,dcp@chelles.fr,http://www.chelles.fr,https://www.achatpublic.com,,,,,False,False,,False,False
18-115425,Communauté de Communes de Desvres-Same,None,Claude Prudhomme,,,CIAS de Desvres-Samer41 Rue des Potiers,62240,Desvres,,03-21-92-07-20,,03-21-92-22-09,amelie.francois@cc-desvressamer.fr,http://www.desvressamer.fr,http://www.webmarche.eu,,,,,False,False,,False,False
18-115426,CTRE HOSPITALIER UNVT GRENOBLE,None,,"Mme LAVAIRE Claire, cellule des marchés",FRK24,Cs 10217,38043,Grenoble cedex 09,,(+33) 4-76-76-68-59,,(+33) 4-76-76-68-50,marches@chu-grenoble.fr,http://www.chu-grenoble.fr/,http://www.marches-publics.gouv.fr,,,,,False,True,,False,True
18-115427,COMMUNE DE SAINT GILLES,None, PAVAN Léa,,,Place Jean Jaurès,30800,Saint-Gilles,,04-66-87-78-27,,,lea.pavan@saint-gilles.fr,http://mairie-saintgilles30.e-marchespublics.com,http://mairie-saintgilles30.e-marchespublics.com,,,,,False,False,,False,False
18-115428,COMMUNE DE COMINES,None,,,FRE11,Grand'Place,59559,COMINES Cedex,,(+33) 3-20-14-58-58,,(+33) 3-20-14-58-59,finances@ville-comines.fr,http://www.ville-comines.fr,https://www.achatpublic.com/,http://www.ville-comines.fr,https://www.achatpublic.com/,,,False,True,,False,True
18-115429,Syndicat Mixte Lys Audomarois,None,Mr Le Président,,,177 rue de thérouanne,62500,Saint omer,,03-21-12-10-33,,,michael@smla.fr,,,,,,,False,False,,False,False
18-115430,Ville de Sainte Geneviève des Bois,None,"M. FERNANDES J. Claude, Instructeur marchés publics",,,Place Roger Perriaud,91711,Sainte geneviève des bois cedex,,,,,magali-lefort@sgdb91.com,http://sgdb91.com,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
18-115431,Syndicat d'Amenagt du Bassin de l'Arc,None,"M. Andréoni Serge, Président",,,23 route de Pourrières,13530,Trets,,,,,,,,,,,,False,False,,False,False
