BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
18-116067,False,False,False,False,False,False,True,
18-116068,False,False,False,True,False,False,False,
18-116069,False,False,False,False,False,False,False,
18-116072,False,True,False,False,False,False,False,
18-116079,False,False,False,False,False,True,False,
18-116081,False,False,False,False,False,True,False,
18-116086,False,False,False,False,True,False,False,
18-116088,False,False,False,False,True,False,False,
18-116091,False,False,False,False,False,False,True,
18-116092,False,False,False,False,False,False,True,
18-116093,False,False,False,False,False,False,False,
18-116095,False,False,False,False,True,False,False,
18-116096,False,False,False,False,True,False,False,
18-116109,False,False,False,False,True,False,False,
18-116110,False,False,False,False,False,False,True,
18-116121,False,True,False,False,False,False,False,
18-116123,False,False,False,False,True,False,False,
18-116125,False,False,False,False,True,False,False,
18-116142,False,False,False,False,True,False,False,
18-116143,False,False,False,False,False,False,True,
18-116145,False,False,False,False,True,False,False,
18-116148,False,False,False,True,False,False,False,
18-116152,False,False,True,False,False,False,False,
18-116154,False,False,False,False,True,False,False,
18-116158,False,False,False,False,False,True,False,
18-116163,False,False,False,False,False,False,False,
18-116169,False,False,False,False,False,False,False,
18-116170,False,False,False,False,True,False,False,
18-116172,False,True,False,False,False,False,False,
18-116178,False,False,False,False,True,False,False,
18-116182,False,True,False,False,False,False,False,
18-116183,False,False,False,False,True,False,False,
18-116184,False,False,False,False,True,False,False,
18-116191,False,False,False,False,True,False,False,
18-116193,False,False,False,True,False,False,False,
18-116194,False,False,False,False,False,False,True,
18-116197,False,False,False,False,True,False,False,
18-116199,False,False,False,True,False,False,False,
18-116201,False,False,False,False,False,False,True,
18-116203,False,False,False,False,True,False,False,
18-116208,False,False,False,False,True,False,False,
18-116212,False,False,False,False,True,False,False,
18-116215,False,False,False,False,False,False,False,
18-116217,False,False,False,False,False,False,False,
18-116219,False,False,False,False,True,False,False,
18-116220,False,False,False,False,False,False,False,
18-116221,False,False,False,False,False,False,False,
18-116223,False,False,False,False,True,False,False,
18-116224,False,False,False,False,False,True,False,
18-116230,False,False,False,False,False,True,False,
18-116234,False,False,False,False,False,False,True,
18-116235,False,False,False,False,True,False,False,
18-116236,False,False,False,False,False,False,True,
18-116241,False,False,False,False,True,False,False,
18-116252,False,False,False,False,False,False,True,
18-116253,False,False,True,False,False,False,False,
18-116254,False,False,False,False,False,True,False,
18-116255,False,False,False,False,False,False,True,
18-116257,False,False,False,False,False,False,True,
18-116258,False,False,False,False,True,False,False,
18-116259,False,True,False,False,False,False,False,
18-116260,False,False,False,False,False,False,True,
18-116262,False,False,False,False,True,False,False,
18-116264,False,False,False,False,False,False,True,
18-116266,False,False,False,False,False,False,True,
18-116269,False,False,False,True,False,False,False,
18-116270,False,False,False,False,False,False,True,
18-116272,False,False,False,False,False,False,True,
18-116273,False,False,False,False,False,True,False,
18-116278,False,False,False,False,True,False,False,
18-116279,False,False,False,False,False,False,False,
18-116284,False,False,False,False,True,False,False,
18-116287,False,False,False,False,True,False,False,
18-116288,False,False,False,False,False,False,True,
18-116290,False,False,False,False,True,False,False,
18-116294,False,False,False,False,True,False,False,
18-116296,False,False,False,False,False,False,True,
18-116297,False,False,False,False,False,False,True,
18-116299,False,False,False,False,False,True,False,
18-116301,False,True,False,False,False,False,False,
18-116302,False,False,False,False,False,False,True,
18-116303,False,False,False,False,True,False,False,
18-116307,False,False,False,False,False,False,True,
18-116308,False,False,False,False,True,False,False,
18-116311,False,False,False,False,True,False,False,
18-116315,False,True,False,False,False,False,False,
18-116317,False,False,False,False,False,True,False,
18-116319,False,False,False,False,True,False,False,
18-116328,False,False,False,False,False,False,True,
18-116329,False,False,False,False,False,False,False,
18-116330,False,False,False,False,True,False,False,
18-116334,False,False,False,False,True,False,False,
18-116343,False,True,False,False,False,False,False,
18-116346,False,False,False,False,True,False,False,
18-116351,False,False,False,False,False,False,True,
18-116352,False,False,False,False,True,False,False,
18-116356,False,False,False,False,True,False,False,
18-116358,False,False,False,False,True,False,False,
18-116360,False,False,False,False,True,False,False,
18-116364,False,False,False,False,True,False,False,
18-116366,False,False,False,False,False,False,True,
18-116368,False,False,False,False,False,False,False,
18-116369,False,False,False,False,True,False,False,
18-116371,False,False,False,False,False,False,False,
18-116375,False,False,False,False,False,False,True,
18-116376,False,False,False,False,True,False,False,
18-116381,False,False,False,False,False,False,False,
