BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
18-115471,False,False,False,False,False,True,False,,False,False,,,,False,"Ces matériels AP2C et AP4C sont dotés de propriétés innovantes et très spécifiques, protégées par brevets. Pour cela, ces équipements doivent être réparés, après constatation d'une anomalie, exclusivement par le fabricant PROENGIN."
18-115534,False,False,False,False,False,True,False,,False,False,,,,False,Marché négocié passé en application de l'article 30.I.2° du décret du 25 mars 2016.
18-115551,True,False,False,False,False,False,False,,False,False,,,,False,"Une consultation en 4 lots séparés avait été lancée en appel d'offres ouvert le 29 décembre 2017 pour la fourniture de substrats. terre végétale, mulchs et amendements (minéraux et organiques) pour la ville de Paris. Le lot 4 de cette consultation a été déclaré sans suite le 15 mai 2018 pour cause d'infructuosité. En effet, une seule offre avait été reçue et avait été déclarée irrégulière au sens de l'article 59-I du décret no2016-360 relatif aux marchés publics. La présente consultation correspond à la relance en procédure concurrentielle avec négociation de ce lot 4. Conformément à l'article 25-II-6° du décret no2016-360 relatif aux marchés publics, seul ce soumissionnaire a été invité à participer à la présente consultation."
18-115579,False,False,False,False,False,True,False,,False,False,,,,False,"L'accord-cadre passé en application des articles 67 à 68 du décret nº2016-360 du 25 mars 2016 et selon une procédure négociée sans publicité préalable et sans mise en concurrence en application de l'article 30-I-3°-c) du décret no 2016-360 du 25 mars 2016 relatif aux marchés publics, en raison de la protection de droits d'exclusivité, notamment de droits de propriété intellectuelle. En effet, la solution Cliiink Verre objet du présent marché est encadrée par trois brevets exclusifs détenus par la société Terradona"
18-116073,False,False,False,False,False,True,False,,False,False,,,,False,"Les travaux/produits/services ne peuvent être fournis que par un opérateur économique déterminé pour la raison suivante : protection de droits exclusifs, y compris des droits de propriété intellectuelle "
18-116089,False,False,False,False,False,False,False,,False,False,,,,True,La présente procédure n'a pas fait l'objet d'une publication d'un avis de marché au Joue du fait du montant plafond des commandes pouvant être émises (celui-ci étant inférieur au seuil obligatoire de publication sur ce support)
18-116570,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
18-116753,False,False,False,False,False,True,False,,False,False,,,,False,"Le marché ne peut être confié qu'a la société INTERSYSTEMS, seule titulaire de l'intégralité des droits de propriété intellectuelle du logiciel clé HealthShare unique."
18-117152,False,False,False,False,False,True,False,,False,False,,,,False,"L' accord-cadre est passé sans publicité ni mise en concurrence sur le fondement de l'article 32 de la directive 2014/24 pour poursuivre la maintenance corrective et évolutive du logiciel DPEMS et la réalisation de prestations associées pour les ARS qui ont déjà acquis cette solution. La société attributaire est titulaire de l'ensemble des droits de propriété intellectuelle sur la solution et détient un droit exclusif pour commercialiser la solution Workforce Data Vision nommé DPEMS dans le cadre des ARS, la maintenir et réaliser les prestations associées d'assistance technique et fonctionnelle. En effet, seule cette société a accès aux codes sources qu'il a enregistré auprès de l'agence de protection des programmes."
18-117258,False,False,False,False,False,False,False,,False,False,,,,True,"En effet, pour des raisons techniques et/ou tenant à la protection de droits d'exclusivité, ce marché ne peut être confié qu'à un opérateur économique déterminé."
18-117715,False,False,False,True,False,False,False,,False,False,,,,False,"Le marché est passé selon une procédure négociée, sans mise en concurrence ni publicité préalables, en application de l'article 30.I.3 du décret no2016-360 du 25 mars 2016 relatif aux marchés publics.Le mode de passation de la présente procédure se justifie en raison du fait que certains des enfants qui occupaient des berceaux au sein de la crèche People and Baby de Champs sur Marne, sur la période de septembre 2017- août 2018, resteront inscrits dans cet établissement à la rentrée de septembre 2018. Ainsi afin de préserver le bien-être de ces enfants, le renouvellement du marché est réalisé au moyen d'une procédure négociée avec l'établissement au sein duquel ils sont déjà inscrits.De plus, cet établissement a été ouvert en 2010 pour satisfaire les besoins de l'UGAP et reste à ce jour la seule crèche inter-entreprises située à proximité immédiate du siège de l'UGAP."
18-117898,True,False,False,False,False,False,False,,False,False,,,,False,"Aucune offre acceptable a été présentée pour le lot 5, qui suite à l'avis de la CAO a été relancé dans le cadre d'une procédure négociée sans publicité et sans mise en concurrence, en application de l'article 30 I 2° du décret 2016-360 avec l'entreprise SPIE"
18-118097,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
18-118219,False,False,False,False,False,False,False,,False,False,,,,True,"Marché passé dans le respect des dispositions de l'ordonnance no 2015-899 du 23 juillet 2015 et de l'article 27 du décret no 2016-360 du 25 mars 2016, selon une procédure adaptée librement définie par le pouvoir adjudicateur"
18-118509,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
18-118663,False,False,False,False,False,True,False,,False,False,,,,False,"La société MEDTRONIC est le constructeur des équipements ORL/NEURO de marque MEDTRONIC. A ce titre, MEDTRONIC est la seule société habilitée à effectuer les opérations de maintenance, révisions et réparations sur ces matériels. Aucune autre société n'a été habilitée ni formée par les équipes de MEDTRONIC pour ces interventions sur nos appareils. De même, aucune autre société ne détient de licence pour pouvoir effectuer les mises à jour des logiciels de ces équipements. Enfin seul les accessoires, consommables et pièces détachées MEDTRONIC d'origine sont agrées pour une utilisation validée par MEDTRONIC avec les équipements ORL et NEURO."
18-118738,False,False,False,False,False,True,False,,False,False,,,,False,"La société Elekta est le constructeur des équipements de stéréotaxie intracrânienne : cadre de stéréotaxie leksell stereotactic system, accessoires associés à l'utilisation du leksell streotactic system. ELEKTA est la filiale française de ELEKTA Instrument AB. A ce titre, elle est la seule société via Brainlab France habilitée à commercialiser sur le territoire français les équipements listés dans le document joint ""liste articles prix HT non remisés"" à upgrader et à effectuer les opérations de maintenance, révisions et interventions sur ces matériels. Aucune autre société n'a été habilitée et formée pour les interventions sur ces appareils. D'autres part, ELEKTA via BRAINLAB France est la seule à pouvoir fournir les compléments de matériels, les accessoires et pièces détachées, et les consommables qui garantissent la comptabilité avec les systèmes déjà installées dans l'hôpital."
18-118927,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
18-119045,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
18-119074,False,False,False,False,False,False,False,,False,True,,,,False,"Attribution du marché suite à une procédure de concours restreint. Décision du jury intervenue le 25 avril 2018, publiée au BOAMP sous la référence 2018/S 091-207297, ainsi qu'au JOUE sous la référence 2018/S 091-20729."
18-119219,False,False,False,False,False,False,False,,True,False,,,,False,"L'article 4.2 du CCAP du marché no2017-17064 Gardiennage des sites de Seine Aval et Seine Grésillons - lot 1 Mise en sûreté du site de Seine Aval notifié à la société LANCRY le 26 juillet 2017 prévoit que des accords-cadres négociés pourront être passés ultérieurement dans les conditions suivantes : "" Ainsi, dans l'hypothèse où un ou des nouveau(x) site(s) dépendant respectivement des Directions de Seine Aval et Seine Grésillons devrai(en)t faire l'objet d'une prestation de gardiennage de manière permanente, le SIAAP aura la possibilité de conclure avec le titulaire du lot concerné, un accord-cadre pour réalisation de prestations similaires. A cet effet, une négociation sera mise en place afin d'établir les conditions d'organisation de la prestation de gardiennage sur ce site et d'arrêter le montant, notamment forfaitaire, de la prestation attendue ""."
18-119423,False,False,False,False,False,True,False,,False,False,,,,False,"A ce titre la société I2A est la seule habilitée à effectuer les opérations de maintenance, révisions et réparations sur ces matériels, aucune autre société n'a été habilitée et formée pour les opérations de maintenance, révisions et réparations sur ces matériels, à l'exception s'il y a lieu, des techniciens de l'Assistance Publique - Hôpitaux de Marseille qui auront suivi ses formations. Aucune autre société ne détient de licence pour pouvoir effectuer les mises à jour des logiciels propres à ces matériels, s'il y a lieu. la société I2A est seule à pouvoir fournir les pièces détachées, accessoires et consommables d'origine nécessaires au fonctionnement et à l'utilisation de ces matériels. I2A atteste que seuls peuvent être utilisés avec ces matériels les consommables, accessoires et, s'il y a lieu, les réactifs de laboratoire (SIRscan discs pour la lecture des sigles si elle est activée) listés sur le bordereau de prix annexé à l'Acte d'Engagement du marché concerné."
18-119470,True,False,False,False,False,False,False,,False,False,,,,False,Justification du choix de la procédure négociée sans publication préalable d'un avis d'appel à la concurrence conformément à l'article 32 de la directive 2014/24/Ue. Suite à un marché infructueux
18-119485,False,False,False,True,False,False,False,,False,False,,,,False,"Le marché est passé selon une procédure négociée, sans mise en concurrence ni publicité préalables, en application de l'article 30.I.3 du décret no2016-360 du 25 mars 2016 relatif aux marchés publics.Le mode de passation de la présente procédure se justifie en raison du fait que certains des enfants qui occupaient des berceaux au sein de la crèche La Maison Bleue de Noisy-Le-Grand, sur la période de septembre 2017- août 2018, resteront inscrits dans cet établissement à la rentrée de septembre 2018. Ainsi afin de préserver le bien-être de ces enfants, le renouvellement du marché est réalisé au moyen d'une procédure négociée avec l'établissement au sein duquel ils sont déjà inscrits."
18-119817,False,False,False,False,False,True,False,,False,False,,,,False,Le titulaire du marché détient une exclusivité sur ce progiciel.
18-120069,False,False,False,False,False,True,False,,False,False,,,,False,"Accord-cadre à bons de commande d'achat de prestations de billetterie à la SASP Stade Français Paris, afin de promouvoir l'activité sportive des parisiens. Le Stade Français Paris est le seul club de rugby parisien évoluant en TOP 14 (championnat de France Elite). Il dispose d'une exclusivité pour la vente des prestations afférentes au marché (billetterie, communication et services annexes)."
18-120488,False,False,False,False,False,False,False,,False,False,,,,True,Il s'agit d'une procédure adaptée de travaux d'un montant inférieurs aux seuils communautaire ne nécessitant pas de publication au Joue conformément à l'article 27 et 34 du Décret 2016-360 du 25/03/2016 relatif aux marchés publics
