BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
17-180367,False,False,False,False,True,False,
17-61354,False,False,False,False,False,False,OPH
18-100440,False,False,False,False,True,False,
18-100527,False,False,False,False,False,False,Etablissement de santé
18-101156,False,False,False,False,False,False,etablissement public de santé
18-101419,False,False,True,False,False,False,
18-101664,False,False,False,False,True,False,
18-102411,True,False,False,False,False,False,
18-102613,False,False,True,False,False,False,
18-103419,False,False,False,False,False,False,Collectivité territoriale à statut particulier
18-103876,False,False,True,False,False,False,
18-104687,False,False,True,False,False,False,
18-105018,False,False,True,False,False,False,
18-105704,False,False,False,False,True,False,
18-106330,False,False,False,False,False,False,Etablissement public de santé
18-106439,False,False,True,False,False,False,
18-107420,False,False,False,False,False,False,Etablissement public de coopération intercommunale
18-107743,False,False,True,False,False,False,
18-107803,True,False,False,False,False,False,
18-107917,False,False,True,False,False,False,
18-107923,False,False,False,False,True,False,
18-108045,False,False,False,False,False,False,collectivité territoriale
18-108064,False,False,False,True,False,False,
18-108165,False,False,False,False,True,False,
18-108376,False,False,True,False,False,False,
18-108463,False,False,False,False,False,False,Collectivité territoriale
18-109152,False,False,False,False,False,False,Métropole de Lyon
18-109208,False,False,True,False,False,False,
18-109673,False,False,True,False,False,False,
18-109678,False,False,True,False,False,False,
18-109842,False,False,False,False,True,False,
18-109936,False,False,False,False,True,False,
18-110110,False,False,True,False,False,False,
18-110119,False,False,False,False,False,False,organisme de sécurité sociale
18-110235,False,False,True,False,False,False,
18-110272,False,False,True,False,False,False,
18-110661,False,False,False,False,False,False,Etablissement public
18-110703,False,False,False,True,False,False,
18-111038,False,False,False,False,False,False,Collectivité territoriale à statut particulier
18-111078,False,False,True,False,False,False,
18-111259,False,False,True,False,False,False,
18-111344,False,False,True,False,False,False,
18-111356,False,False,False,False,False,False,collectivité à statut particulier
18-111433,False,False,False,False,False,False,CHU
18-111494,True,False,False,False,False,False,
18-112050,False,False,True,False,False,False,
18-112146,True,False,False,False,False,False,
18-112631,False,False,False,False,True,False,
18-112748,False,False,True,False,False,False,
18-112842,True,False,False,False,False,False,
18-113115,False,False,True,False,False,False,
18-113310,True,False,False,False,False,False,
18-113329,False,False,True,False,False,False,
18-113449,False,False,True,False,False,False,
18-113506,False,False,True,False,False,False,
18-113630,False,False,True,False,False,False,
18-113790,True,False,False,False,False,False,
18-113862,False,True,False,False,False,False,
18-113870,False,False,True,False,False,False,
18-114165,False,False,True,False,False,False,
18-114336,True,False,False,False,False,False,
18-114395,False,False,False,False,True,False,
18-114396,False,False,True,False,False,False,
18-114452,True,False,False,False,False,False,
18-114467,False,False,False,False,False,False,Assemblée parlementaire
18-114727,False,False,True,False,False,False,
18-114733,False,False,True,False,False,False,
18-114962,False,False,True,False,False,False,
18-114981,False,False,True,False,False,False,
18-115077,False,False,True,False,False,False,
18-115157,False,False,False,False,False,False,Collectivité territoriale
18-115196,False,False,True,False,False,False,
18-115243,False,False,True,False,False,False,
18-115433,False,False,False,False,False,False,Collectivité territoriale
18-115436,False,False,False,False,False,False,Etablissement de santé
18-115470,False,False,True,False,False,False,
18-115611,False,False,False,True,False,False,
18-115716,False,False,True,False,False,False,
18-115862,False,False,False,False,True,False,
18-115942,True,False,False,False,False,False,
18-115976,True,False,False,False,False,False,
18-116006,False,False,False,False,False,False,Collectivité territoriale
18-116061,False,False,False,False,False,False,Assurance Maladie
18-116071,False,False,False,False,False,False,autorité locale
18-116168,False,False,True,False,False,False,
18-116350,False,False,False,False,False,False,Assurance Maladie
18-116453,False,False,True,False,False,False,
18-116464,False,False,True,False,False,False,
18-116644,False,False,True,False,False,False,
18-116856,False,False,True,False,False,False,
18-116876,False,False,True,False,False,False,
18-117011,True,False,False,False,False,False,
18-117016,False,False,True,False,False,False,
18-117355,True,False,False,False,False,False,
18-117441,False,False,True,False,False,False,
18-117448,False,False,False,False,False,False,Etablissement public local
18-117453,False,False,False,False,False,False,collectivité territoriale
18-117523,True,False,False,False,False,False,
18-117617,True,False,False,False,False,False,
18-117663,False,False,True,False,False,False,
18-117687,False,False,False,False,False,False,Société publique locale
18-117719,False,False,False,False,True,False,
18-117951,True,False,False,False,False,False,
18-118046,False,False,True,False,False,False,
18-118052,False,False,True,False,False,False,
18-118123,False,False,False,False,False,False,Etablissement Public de Santé
18-118283,False,False,True,False,False,False,
18-118317,False,False,False,False,True,False,
18-118454,False,False,False,False,True,False,
18-118555,True,False,False,False,False,False,
18-118556,False,False,True,False,False,False,
18-118565,False,False,False,False,False,False,Etablissement de santé
18-118568,False,False,True,False,False,False,
18-118576,False,False,True,False,False,False,
18-118623,False,False,True,False,False,False,
18-118630,False,False,False,False,False,False,Etablissement public de coopération intercommunale
18-118673,False,False,True,False,False,False,
18-118684,False,False,True,False,False,False,
18-118718,False,False,True,False,False,False,
18-118761,False,False,True,False,False,False,
18-118774,False,False,False,False,False,False,Société publique locale
18-118816,False,False,False,True,False,False,
18-118879,False,False,True,False,False,False,
18-119040,False,False,True,False,False,False,
18-119245,False,False,True,False,False,False,
18-119290,False,False,True,False,False,False,
18-119297,False,False,True,False,False,False,
18-119400,False,False,True,False,False,False,
18-119501,False,False,False,True,False,False,
18-119548,True,False,False,False,False,False,
18-119558,False,False,True,False,False,False,
18-119616,False,False,True,False,False,False,
18-119690,False,False,False,False,False,False,Etablissement public de coopération intercommunale
18-119736,True,False,False,False,False,False,
18-119830,False,False,False,False,True,False,
18-119867,False,False,False,False,False,False,Assurance maladie
18-119947,False,False,False,False,True,False,
18-120020,False,False,True,False,False,False,
18-120084,True,False,False,False,False,False,
18-120091,False,False,False,False,False,False,Commune
18-120095,False,False,True,False,False,False,
18-120102,False,False,True,False,False,False,
18-120140,False,False,False,False,True,False,
18-120168,False,False,False,False,True,False,
18-120179,False,False,False,False,True,False,
18-120203,False,False,False,False,False,False,Protection sociale
18-120284,False,False,False,False,True,False,
18-120291,False,False,False,False,False,False,Société Publique Locale
18-120311,False,False,True,False,False,False,
18-120330,True,False,False,False,False,False,
18-120335,False,False,False,False,True,False,
18-120357,True,False,False,False,False,False,
18-120372,False,False,True,False,False,False,
18-120417,False,False,True,False,False,False,
18-120431,True,False,False,False,False,False,
18-120460,False,False,False,False,True,False,
18-120466,True,False,False,False,False,False,
18-120499,False,False,False,False,True,False,
18-120538,False,False,False,False,False,False,Organisme de Sécurité Sociale
18-120558,False,False,False,False,False,False,Etablissement public de coopération intercommunale
18-120592,False,False,True,False,False,False,
18-120621,False,False,True,False,False,False,
18-120685,False,False,True,False,False,False,
18-120704,True,False,False,False,False,False,
18-120774,True,False,False,False,False,False,
18-120780,False,False,True,False,False,False,
