BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
18-159694,Constitution d' une garantie à première demande,Le règlement des dépenses se fera par mandat administratif suivi d'un virement,"Aucune forme de groupement n'est imposée par le pouvoir adjudicateur.le pouvoir adjudicateur interdit aux candidats de présenter leurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements, conformément à l'article 45-v-1 du Décret no 2016-360 du 25 mars 2016.En cas d'attribution du marché à un groupement conjoint, le mandataire du groupement sera solidaire,pour l'exécution du marché, de chacun des membres du groupement pour ses obligations contractuelles en application de l'article 45-iii du Décret no 2016-360 du 25 mars 2016",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
18-159696,Une retenue de garantie de 5% sera appliquée sur chaque demande de paiements dans les conditions fixées par les articles 122 et suivants du décret no 2016-360 du 25 mars 2016.Une avance de 5% sera possible conformément à l'article 110 du décret no2016-360 du 25 mars 2016,Les prestations seront financées en partie sur les fonds propres de la collectivité.Le délai global de paiement est fixé à 30 jours à compter de la date de réception de la facture.Le versement des sommes dues s'effectue par virement administratif sur le compte indiqué par le titulaire dans l'acte d'engagement,"La forme juridique du groupement n'est pas imposée. Cependant en cas de groupement conjoint, le mandataire sera solidaire",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
18-159698,sans objet,"Montant HT estimatif 30 000 eurosLe marché se présentant sous forme de phase (au nombre de 7 sur les 18 mois), la facturation interviendra dès la fin de chaque phase, une fois que la réception et acceptation des livrables correspondants auront été prononcées",Aucune forme de groupement imposée à l'attributaire,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
18-159699,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
18-159712,,Ressources propres. Le candidat pourra bénéficier des dispositions de l'article 110 du décret no 2016-360.,,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
18-159713,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
18-159715,"Il sera appliqué une retenue de garantie de 5% du montant total du marché.Avance de 5 % pour les marchés supérieurs à 50 000 euro(s) H.T. et dans la mesure où le délai d'exécution est supérieur à deux mois : (articles 110 à 113 du Décret no2016-360 du 25 mars 2016) Il ne sera pas versé d'avance pour les marchés dont le montant minimum est inférieur à 50 000 euro(s) H.T. et pour lesquels le délai d'exécution est inférieur à deux mois.L'avance est égale à 5 % du montant initial, toutes taxes comprises, du marché.Le versement de l'avance sera conditionné par la constitution d'une garantie à première demande","Délai global de paiement : 30 jours à réception de la facture. Le paiement sera effectué par mandat administratif sur le budget principal de la Ville.Intérêts moratoires : le taux des intérêts moratoires est celui de l'intérêt légal en vigueur à la date à laquelle les intérêts moratoires ont commencé à courir, augmenté de huit points.",,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
18-159717,"Une retenue de garantie de 5,00 % du montant initial du marché (augmenté le cas échéant du montant des avenants) sera prélevée sur le montant de chaque acompte par le comptable assignataire des paiements.Cette retenue de garantie peut être remplacée au gré du titulaire par une garantie à première demande. En revanche, il ne sera pas accepté de caution personnelle et solidaire.","Les prestations seront financées par le budget de la collectivité dont les travaux sont à la charge. Ainsi, les demandes de paiement devront être distinctes pour chaque partie du marché. Les paiements sont effectués dans les conditions prévues au cahier des clauses administratives particulières et au cahier des clauses administratives générales relatif aux marchés de travaux.","En cas de groupement, la forme souhaitée par le pouvoir adjudicateur est un groupement conjoint avec mandataire solidaire ou groupement solidaire. Si le groupement attributaire du marché est d'une forme différente, il pourra se voir contraint d'assurer sa transformation pour se conformer au souhait du pouvoir adjudicateur tel qu'il est indiqué ci-dessus, dans un soucis de continuité de l'exécution des travaux (article 45.II décret 25/03/2016).",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
18-159722,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
18-159724,,,,False,False,,False,True,True,CF_NIV_SUIV,,
