BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
18-141282,False,False,False,True,False,False,False,,False,False,,,,False,"(art. 30-I-3°-b du Décret no 2016-360 du 25 mars 2016) Groupe scolaire imbriqué dans une opération immobilière complexe dont lobjet principal est la réalisation dune opération de logement dont les droits à construire seront cédés à un opérateur immobilier via une promesse synallagmatique de vente. Le groupe scolaire desservira principalement le bassin scolaire des secteurs opérationnels Deschamps et Belvédère de la ZAC Garonne- Eiffel. La programmation de ces deux sous-secteurs prévoit la réalisation denviron 3 000 logements familiaux soit environ 330 élèves ce qui nécessite un besoin minimum de 14 classes (6 classes maternelles et 8 classes élémentaires). Les livraisons de la majorité des programmes immobiliers précités séchelonneront principalement entre mi-2021 et 2022. Le volume du groupe scolaire intégré dans cet ensemble immobilier R+7 constitue une partie minoritaire et indissociable de lopération immobilière (environ 4518 mètres carrés SDP) étant ici précisé quil sagit du seul lot immobilier du secteur Deschamps de la ZAC GaronneEiffel dont la localisation est centrale vis-à-vis des programmes immobiliers développés sur le secteur. Cest également le seul lot disponible et d'une emprise foncière maîtrisée aux dimensions suffisantes pour répondre au programme de groupe scolaire et le seul permettant une livraison du groupe scolaire en 2021.Cette échéance de livraison permettra ainsi aux nouveaux habitants de disposer dun groupe scolaire en activité au plus tard pour la rentrée scolaire de septembre 2021. Compte tenu de l'imbrication du volume du groupe scolaire dans l'opération immobilière et de la nécessité de cohérence et de cohésion des prestations techniques, les travaux ne peuvent pas être réalisés par un autre opérateur que celui qui est en charge des travaux de réalisation de la partie principale de l'ensemble immobilier à construire."
18-147024,False,False,False,False,False,False,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<MARCHE_COMPLEMENTAIRE xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",False,False,,,,False,"Procédure négociée sans mise en concurrenceLa poursuite de lENT actuel, selon les stipulations techniques du marché no 15 320 201, est possible. En effet, ledit contrat prévoit la possibilité de passer, avec son titulaire, un marché négocié de prestations similaires, sans publicité ni mise en concurrence, en application de larticle 35-II-6° du Code des marchés publics. Les prestations techniques seront identiques à celles définies initialement. Le marché serait conclu pour une durée de 12 mois à compter du 31 août 2018.Le contrat serait passé au moyens de bons de commande sans minimum ni maximum selon les prix figurant dans le bordereau des prix unitaires. "
18-149099,False,False,False,False,False,True,False,,False,False,,,,False,La Société FUJIREBIO FRANCE atteste sur l'honneur qu'elle est à ce jour le seul fournisseur capable d'assurer l'objet du marché.  
18-149790,False,False,False,False,False,False,False,,False,False,,,,True,"Ce marché, du fait de son objet, est passé selon une procédure formalisée d'appel d'offre ouvert et a fait l'objet d'une publication au JOUE 2018/S158-362520 le 18/08/2018.Le délai minimal de réception des candidatures et des offres  de trente-cinq jours à compter de la date de l'envoi de l'avis de marché a été respecté: ouverture des offres le 25/09/2018."
18-152032,False,False,False,False,False,True,False,,False,False,,,,False,"SASP NICE HOCJEYE ELITE détient les droits d'exclusivité  d' organisation des matchs de championnat à domicile de son équipe et de la commercialisation des places et de la communication liée à ces évènements   "" "
18-152807,True,False,False,False,False,False,False,,False,False,,,,False,Absence d'offre lors de la procédure adaptée préalable
18-153228,False,False,False,False,False,False,False,,False,False,,,,True,Le marché a pour objet des services figurant à l'annexe II B de la directive
18-153559,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
18-153568,False,False,False,True,False,False,False,,False,False,,,,False,La présente consultation est passée sur le fondement de l'article 30.I 3a pour des raisons liées au savoir faire du prestataire 
18-154358,False,False,False,False,False,True,False,,False,False,,,,False,Le recours à l'article 30-I-3° est motivé par le fait qu'il s'agit du seul matériel compatible avec le système de cartographie haute densité Rhythmia distribué par la société Boston Scientific.
18-154970,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
18-154986,True,False,False,False,False,False,False,,False,False,,,,False,"Le lot 5 (Matière plastique) a été déclaré infructueux par le représentant légal du pouvoir adjudicateur, le seul pli reçu étant arrivé hors délai.Il est donc nécessaire de relancer ce lot en marché négocié sans publicité ni mise en concurrence en application de larticle 30 I 2°) du décret no2016-360 du 25 mars 2016."
18-155046,False,False,False,False,False,True,False,,False,False,,,,False,"La société PITNEY BOWES a produit une attestation d'exclusivité indiquant qu'elle était la seule entité à pouvoir réaliser les opérations de maintenance corrective sur le matériel de la CNAV selon les modes opératoires et les consignes de sécurité définies dans ses plans de maintenance. Il n'y a également pas de solution de remplacement raisonnable, à la fois sur les plans technique et financier. En effet, le recours à une solution alternative du marché impliquerait des délais et des coûts supplémentaires élevés, que la CNAV n'a pas choisi d'engager compte tenu de ses autres priorités."
18-155332,False,False,False,False,False,False,False,,False,False,,,,True,Marché d'un montant inférieur aux seuils européens
18-155484,True,False,False,False,False,False,False,,False,False,,,,False,"Cette procédure négociée sans publicité ni mise en concurrence a été initiée à la suite de la décision du Pouvoir Adjudicateur de déclarer sans suite la procédure adaptée relative aux lots no2 et no3, pour cause d'infructuosité en l'absence d'offre, en application de l'article 98 du Décret no2016-360 du 25 mars 2016 relatif aux marchés publics"
